Comuna,Casos nuevos
Algarrobo,7
Cabildo,2
Calle Larga,11
Cartagena,6
Casablanca,9
Catemu,0
Concón,15
El Quisco,6
El Tabo,3
Hijuelas,11
Isla de Pascua,0
Juan Fernández,0
La Calera,25
La Cruz,7
La Ligua,11
Limache,5
Llay-Llay,11
Los Andes,31
Nogales,10
Olmué,10
Panquehue,2
Papudo,3
Petorca,5
Puchuncaví,1
Putaendo,2
Quillota,24
Quilpué,44
Quintero,4
Rinconada,0
San Antonio,7
San Esteban,4
San Felipe,28
Santa Maria,7
Santo Domingo,5
Valparaíso,119
Villa Alemana,33
Viña del Mar,124
Zapallar,5
