Comuna,Casos nuevos
Algarrobo,6
Cabildo,0
Calle Larga,1
Cartagena,6
Casablanca,3
Catemu,2
Concón,3
El Quisco,6
El Tabo,1
Hijuelas,6
Isla de Pascua,0
Juan Fernández,0
La Calera,14
La Cruz,4
La Ligua,4
Limache,32
Llay-Llay,8
Los Andes,16
Nogales,10
Olmué,14
Panquehue,4
Papudo,0
Petorca,0
Puchuncaví,1
Putaendo,1
Quillota,28
Quilpué,22
Quintero,10
Rinconada,0
San Antonio,24
San Esteban,2
San Felipe,24
Santa Maria,7
Santo Domingo,1
Valparaíso,94
Villa Alemana,21
Viña del Mar,77
Zapallar,0
