Comuna,Casos nuevos
Algarrobo,5
Cabildo,2
Calle Larga,1
Cartagena,0
Casablanca,0
Catemu,1
Concón,4
El Quisco,3
El Tabo,0
Hijuelas,0
Isla de Pascua,0
Juan Fernández,0
La Calera,10
La Cruz,0
La Ligua,5
Limache,1
Llay-Llay,4
Los Andes,8
Nogales,1
Olmué,0
Panquehue,2
Papudo,0
Petorca,0
Puchuncaví,0
Putaendo,0
Quillota,7
Quilpué,10
Quintero,1
Rinconada,0
San Antonio,49
San Esteban,1
San Felipe,10
Santa Maria,0
Santo Domingo,2
Valparaíso,21
Villa Alemana,3
Viña del Mar,52
Zapallar,3
