Comuna,Casos nuevos
Algarrobo,7
Cabildo,9
Calle Larga,1
Cartagena,1
Casablanca,1
Catemu,9
Concón,2
El Quisco,2
El Tabo,9
Hijuelas,0
Isla de Pascua,0
Juan Fernández,0
La Calera,5
La Cruz,4
La Ligua,9
Limache,5
Llay-Llay,19
Los Andes,24
Nogales,9
Olmué,2
Panquehue,0
Papudo,2
Petorca,3
Puchuncaví,3
Putaendo,4
Quillota,8
Quilpué,15
Quintero,7
Rinconada,0
San Antonio,48
San Esteban,6
San Felipe,10
Santa Maria,5
Santo Domingo,6
Valparaíso,39
Villa Alemana,28
Viña del Mar,32
Zapallar,1
