Comuna,Casos nuevos
Algarrobo,0
Cabildo,0
Calle Larga,2
Cartagena,6
Casablanca,1
Catemu,0
Concón,1
El Quisco,3
El Tabo,4
Hijuelas,1
Isla de Pascua,0
Juan Fernández,0
La Calera,10
La Cruz,3
La Ligua,4
Limache,2
Llay-Llay,6
Los Andes,9
Nogales,4
Olmué,0
Panquehue,1
Papudo,1
Petorca,0
Puchuncaví,6
Putaendo,3
Quillota,7
Quilpué,18
Quintero,6
Rinconada,1
San Antonio,21
San Esteban,1
San Felipe,7
Santa Maria,2
Santo Domingo,2
Valparaíso,41
Villa Alemana,6
Viña del Mar,48
Zapallar,0
