Comuna,Casos nuevos
Algarrobo,6
Cabildo,1
Calle Larga,1
Cartagena,10
Casablanca,4
Catemu,5
Concón,10
El Quisco,13
El Tabo,3
Hijuelas,0
Isla de Pascua,0
Juan Fernández,0
La Calera,11
La Cruz,2
La Ligua,6
Limache,10
Llay-Llay,5
Los Andes,24
Nogales,1
Olmué,4
Panquehue,2
Papudo,4
Petorca,4
Puchuncaví,1
Putaendo,9
Quillota,36
Quilpué,59
Quintero,10
Rinconada,3
San Antonio,21
San Esteban,6
San Felipe,25
Santa Maria,2
Santo Domingo,4
Valparaíso,137
Villa Alemana,34
Viña del Mar,105
Zapallar,1
