Comuna,Casos nuevos
Algarrobo,0
Cabildo,1
Calle Larga,0
Cartagena,3
Casablanca,0
Catemu,1
Concón,1
El Quisco,4
El Tabo,1
Hijuelas,0
Isla de Pascua,0
Juan Fernández,0
La Calera,0
La Cruz,0
La Ligua,0
Limache,0
Llay-Llay,0
Los Andes,1
Nogales,0
Olmué,0
Panquehue,0
Papudo,0
Petorca,1
Puchuncaví,3
Putaendo,0
Quillota,5
Quilpué,2
Quintero,12
Rinconada,0
San Antonio,18
San Esteban,0
San Felipe,2
Santa Maria,0
Santo Domingo,5
Valparaíso,15
Villa Alemana,3
Viña del Mar,17
Zapallar,0
