Comuna,Casos nuevos
Algarrobo,1
Cabildo,0
Calle Larga,0
Cartagena,6
Casablanca,6
Catemu,0
Concón,2
El Quisco,3
El Tabo,2
Hijuelas,3
Isla de Pascua,0
Juan Fernández,0
La Calera,2
La Cruz,3
La Ligua,8
Limache,4
Llay-Llay,0
Los Andes,7
Nogales,4
Olmué,1
Panquehue,1
Papudo,0
Petorca,4
Puchuncaví,0
Putaendo,0
Quillota,13
Quilpué,15
Quintero,2
Rinconada,0
San Antonio,18
San Esteban,0
San Felipe,9
Santa Maria,4
Santo Domingo,1
Valparaíso,42
Villa Alemana,22
Viña del Mar,51
Zapallar,0
