Comuna,Casos nuevos
Algarrobo,3
Cabildo,0
Calle Larga,2
Cartagena,10
Casablanca,2
Catemu,1
Concón,12
El Quisco,5
El Tabo,13
Hijuelas,6
Isla de Pascua,0
Juan Fernández,0
La Calera,3
La Cruz,1
La Ligua,6
Limache,0
Llay-Llay,3
Los Andes,5
Nogales,2
Olmué,4
Panquehue,0
Papudo,0
Petorca,3
Puchuncaví,10
Putaendo,1
Quillota,10
Quilpué,11
Quintero,5
Rinconada,2
San Antonio,21
San Esteban,1
San Felipe,7
Santa Maria,0
Santo Domingo,1
Valparaíso,11
Villa Alemana,3
Viña del Mar,37
Zapallar,0
