,Algarrobo,Cabildo,Calle Larga,Cartagena,Casablanca,Catemu,Concón,El Quisco,El Tabo,Hijuelas,Isla de Pascua,Juan Fernández,La Calera,La Cruz,La Ligua,Limache,Llay-Llay,Los Andes,Nogales,Olmué,Panquehue,Papudo,Petorca,Puchuncaví,Putaendo,Quillota,Quilpué,Quintero,Rinconada,San Antonio,San Esteban,San Felipe,Santa Maria,Santo Domingo,Valparaíso,Villa Alemana,Viña del Mar,Zapallar
2021-09-17,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,2,0,0,2,0,0,0,0,3,1,4,0
2021-09-18,0,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,1,0,1,0,4,3,0,0,1,2,1,1,0
2021-09-20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
2021-09-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,1,1,3,0
2021-09-22,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,8,0,2,0,0,2,4,6,0
2021-09-23,4,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,2,0,0,3,5,2,0,0,1,0,2,0
2021-09-24,2,0,2,1,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,3,1,0,0,0,3,2,10,0
2021-09-26,2,0,0,7,0,0,2,1,0,0,0,0,0,0,5,4,2,0,0,0,0,0,0,2,0,1,0,3,0,7,1,0,0,1,8,0,7,0
2021-09-29,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,2,0,2,1,1,5,2,11,0
2021-09-30,1,1,1,5,0,0,1,0,0,1,0,0,0,0,6,0,1,3,0,0,0,0,1,2,1,4,0,2,0,5,1,0,0,0,6,2,10,0
2021-10-01,4,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,1,0,5,1,0,6,1,1,0,0,5,1,6,1
2021-10-02,2,0,0,4,0,0,3,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,8,0,1,2,0,0,6,1,2,1,0,9,2,7,0
2021-10-03,2,0,0,2,0,1,2,1,1,9,0,0,0,0,5,12,0,1,0,0,1,0,0,0,0,1,0,6,0,13,0,1,0,0,1,2,8,2
2021-10-04,2,0,0,3,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,1,4,0,3,0,2,0,0,1,2,5,0
2021-10-05,3,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,6,1,0,3,0,2,0,0,1,1,4,0
2021-10-08,3,0,0,1,0,2,0,1,2,0,0,0,0,1,7,1,0,4,0,0,0,0,0,1,0,1,10,4,0,7,0,5,1,0,7,3,8,0
2021-10-09,3,0,1,1,0,0,1,0,0,0,0,0,0,0,5,3,0,9,1,0,1,0,0,0,0,1,11,7,0,7,0,7,0,0,4,6,9,0
2021-10-10,2,0,0,0,0,1,4,2,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,3,0,1,7,3,0,8,0,1,0,1,12,5,10,0
2021-10-11,2,0,0,1,0,0,1,1,1,0,0,0,0,0,6,7,0,1,0,0,1,0,0,2,0,2,0,11,0,8,0,2,0,0,6,2,7,0
2021-10-12,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,2,0,7,0,2,2,0,4,1,3,0
2021-10-15,1,0,0,11,4,0,0,3,2,0,0,0,1,3,7,3,0,3,0,0,0,0,0,7,0,8,3,3,0,8,1,3,0,2,6,1,13,0
2021-10-18,3,0,0,8,0,0,2,0,3,0,0,0,4,1,3,1,2,0,0,0,0,0,0,3,0,5,6,4,0,18,0,3,1,0,15,1,13,5
2021-10-19,1,1,0,0,1,0,2,3,2,0,0,0,0,1,8,0,0,0,0,0,0,0,0,2,0,0,4,3,0,11,0,0,0,0,10,4,7,0
2021-10-20,4,0,0,8,4,2,4,3,1,0,0,0,1,0,1,2,3,1,0,0,0,1,0,6,1,1,10,1,0,9,0,2,1,1,6,2,21,2
2021-10-21,1,0,0,8,1,0,4,0,1,4,0,0,0,0,0,2,0,3,0,0,0,3,0,4,2,4,8,8,0,13,0,1,1,1,15,6,16,0
2021-10-22,1,2,1,3,3,0,3,8,0,6,0,0,2,1,7,0,0,4,0,4,1,1,2,9,1,10,11,6,0,14,0,0,1,5,12,4,13,2
2021-10-23,4,3,0,13,1,1,6,2,2,0,0,0,5,3,4,0,2,6,0,0,2,0,2,2,0,8,13,7,0,18,1,4,0,4,11,5,21,0
2021-10-24,3,4,1,8,4,1,3,4,3,0,0,0,2,1,10,4,1,3,0,1,0,1,0,4,1,3,19,4,0,19,1,4,3,4,13,3,26,0
2021-10-25,3,4,1,3,1,0,3,3,4,0,0,0,0,0,6,0,1,1,0,1,0,1,4,2,0,2,7,3,0,23,0,6,0,3,15,8,16,0
2021-10-26,3,0,0,2,1,1,0,3,1,0,0,0,1,0,4,3,0,0,0,1,0,0,1,1,2,4,5,5,0,6,1,0,1,9,13,2,13,0
2021-10-27,0,1,0,3,1,0,1,6,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,4,0,1,7,11,0,9,0,1,0,0,19,7,21,0
